sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_p22,pval_p22,t_p22,coef_diff_p23_minus_p22,pval_diff_p23_minus_p22
main_only,LCFS,single_mechanism,subsidy_expo_it,-421.06551684104977,0.9185537987419695,-0.1022555972705951,822,11,-55.23440786167305,0.7721917233278129,-0.2895092225898266,-365.8311089793767,0.14636207541415658
main_only,LCFS,single_mechanism,compliance_expo_it,-5.602430115121735,0.6924775111564595,-0.3954951352091691,822,11,0.1895035431113471,0.6100660483344043,0.5099791795602253,-5.7919336582330825,0.08241146282205525
main_only,LCFS,single_mechanism,credit_market_expo_it,-329.7887486982572,0.03717595908036974,-2.0838264214384465,822,11,-6.8062593987701385,0.0177713488618081,-2.3703480129390258,-322.9824892994871,0.01940461021856164
main_only,LCFS,single_mechanism,demand_pull_expo_it,-259.36968705306276,0.06791151433191964,-1.8255935086178734,822,11,-7.939599050339803,0.1281248087548574,-1.521538295461164,-251.43008800272295,-0.06021329442293777
main_only,LCFS,joint_mechanism,subsidy_expo_it,-14807.797539682775,9.034685674442321e-07,-4.911576865081878,822,11,-645.8113128859716,8.781920099659719e-08,-5.350278043618131,-14161.986226796804,8.156493664476349e-07
main_only,LCFS,joint_mechanism,compliance_expo_it,9.223434652461641,0.5786318670905903,0.5553842442818557,822,11,1.5815290601588756,0.0081942871096705,2.6439578021386674,7.6419055923027654,0.5704375799809198
main_only,LCFS,joint_mechanism,credit_market_expo_it,-431.23718516907616,0.006784931810935748,-2.70721980490055,822,11,-7.292187902282051,0.0162995533808933,-2.402138107475532,-423.94499726679413,-0.009514621569957553
main_only,LCFS,joint_mechanism,demand_pull_expo_it,-503.09200565216435,1.3048923313098462e-07,-5.278157576125577,822,11,-20.40222873568669,2.941942664359279e-07,-5.127128795420114,-482.6897769164776,-1.637050333049433e-07
main_only,RFS2,baseline,ExpoQuick_it,-0.057845755316341556,0.8669083090486505,-0.16758686018529942,815,11,-0.0578457553163415,0.8669083090486505,-0.1675868601852994,-5.551115123125783e-17,0.0
main_only,RFS2,single_mechanism,subsidy_expo_it,0.0,,,815,11,183.7194213411365,0.5336355637638145,0.6224658935419796,-183.7194213411365,
